year,title,author,id,community
1946,An Analysis Of Knowledge And Valuation,Clarence Irving Lewis,304,6
1947,Meaning and Necessity: a Study in Semantics and Modal Logic,Rudolf Carnap,308,6
1948,Human Knowledge: Its Scope and Limits,Bertrand Russell,311,6
1949,The Concept of Mind,Gilbert Ryle,316,6
1950,Logical Foundations of Probability,Rudolf Carnap,319,6
1952,The Nature of Historical Explanation,Patrick Gardiner,324,6
1953,From a Logical Point of View,Willard Van Orman Quine,327,6
1690,The Principles of the Most Ancient and Modern Philosophy,Anne Conway,18,
1691,Metaphysics,Arnold Geulincx,19,
1732,An Enquiry Into the Origin of Honour,Bernard Mandeville,42,
1777,Philosophische Versuche über die menschliche Natur und ihre Entwickelung,Johannes Nikolaus Tetens,72,
1785,"Morning Hours, or Lectures on the Existence of God",Moses Mendelssohn,77,
1792,Principles of Moral and Political Science,Adam Ferguson,86,
1802,Summary of nature philosophy,Lorenz Oken,96,
1802,Relations of the Physical and the Moral in Man,Pierre Jean Georges Cabanis,98,
1802,Natural Theology,William Paley,97,
1836,Nature,Ralph Waldo Emerson,116,
1849,The Sickness Unto Death,Søren Kierkegaard,134,
1861,Education,Herbert Spencer,140,
1869,La science de la morale,Charles Renouvier,145,
1876,The Philosophy of Redemption,Philipp Mainländer,153,
1908,Personalism,Borden Parker Bowne,204,
1910,Soul and Form,György Lukács,209,
1918,Spirit of Utopia,Ernst Bloch,224,
1920,Art and Scholasticism,Jacques Maritain,228,
1929,The Aims of Education and Other Essays ,Alfred North Whitehead,253,
1930,Problems of Ethics,Moritz Schlick,258,
1931,Empiricism and Sociology,Otto Neurath,261,
1932,The Philosophy of the Present,George Herbert Mead,263,
1932,The Degrees of Knowledge,Jacques Maritain,267,
1933,The Concept of Truth in Formalized Languages,Alfred Tarski,269,
1942,The Myth of Sisyphus,Albert Camus,292,
1945,The Perennial Philosophy,Aldous Huxley,300,
1946,Genesis and Structure of Society,Giovanni Gentile,303,
1947,Elements of Symbolic Logic,Hans Reichenbach,309,
1948,The Transcendent Unity of Religions,Frithjof Schuon,312,
1948,Philosophy of Nature,Moritz Schlick,314,
1953,The Philosophy of Science: An Introduction,Stephen Toulmin,325,
